jugador,diferencia_valor,valor_actual,valor_anterior,puja_maxima_rentable,posicion,team_id,href,prob,lesion,sancion
Buba Sangare,-38274,3744792,3783066,4015501,Defensa,21,https://www.futbolfantasy.com/jugadores/buba-sangare,70%,-1,0
Matias Vecino,-52667,1934170,1986837,2302410,Mediocampista,5,https://www.futbolfantasy.com/jugadores/matias-vecino,20%,1,0
Obed Vargas,-7402,815301,822703,924399,Mediocampista,2,https://www.futbolfantasy.com/jugadores/obed-vargas,20%,-1,0
Ademola Lookman,-1056061,75128940,76185001,78117316,Delantero,2,https://www.futbolfantasy.com/jugadores/ademola-lookman,80%,-1,0
Tete Morente,-49214,1855238,1904452,2190374,Delantero,21,https://www.futbolfantasy.com/jugadores/tete-morente,40%,-1,0
Alvaro Fidalgo,-42273,2607134,2649407,2865103,Mediocampista,4,https://www.futbolfantasy.com/jugadores/alvaro-fidalgo,0%,-1,0
Ville Koski,48622,844958,796336,803089,Defensa,28,https://www.futbolfantasy.com/jugadores/ville-koski,80%,-1,0
Alex Freeman,-46543,2364794,2411337,2672837,Defensa,22,https://www.futbolfantasy.com/jugadores/alex-freeman,30%,-1,0
Lucas Cepeda,-19946,1063405,1083351,1118312,Delantero,21,https://www.futbolfantasy.com/jugadores/lucas-cepeda,60%,-1,0
Angel Perez,-66096,6532123,6598219,7101686,Delantero,28,https://www.futbolfantasy.com/jugadores/angel-perez,0%,-1,0
Luismi Cruz,-14016,5990327,6004343,5918453,Delantero,6,https://www.futbolfantasy.com/jugadores/luismi-cruz,70%,-1,0
Alfonso Herrero,56609,8379891,8323282,7480451,Portero,11,https://www.futbolfantasy.com/jugadores/alfonso-herrero,80%,-1,0
Sergio Canales,527833,24117278,23589445,19400649,Mediocampista,42,https://www.futbolfantasy.com/jugadores/sergio-canales,80%,-1,0
Simon Eriksson,-49305,2858799,2908104,2918400,Portero,42,https://www.futbolfantasy.com/jugadores/simon-eriksson,30%,-1,0
Giorgi Guliashvili,-61066,1958060,2019126,2437773,Delantero,42,https://www.futbolfantasy.com/jugadores/giorgi-guliashvili,0%,1,0
Juan Carlos Arana,-12631,769905,782536,841922,Delantero,42,https://www.futbolfantasy.com/jugadores/juan-carlos-arana,30%,-1,0
Iñigo Vicente,68282,19337966,19269684,18753390,Delantero,42,https://www.futbolfantasy.com/jugadores/iñigo-vicente,0%,-1,0
Gustavo Puerta,145823,12954478,12808655,11597456,Mediocampista,42,https://www.futbolfantasy.com/jugadores/gustavo-puerta,90%,-1,0
Maguette Gueye,-78192,4010031,4088223,4257423,Mediocampista,42,https://www.futbolfantasy.com/jugadores/maguette-gueye,50%,-1,0
Facundo Gonzalez,-55794,3003988,3059782,3101160,Defensa,42,https://www.futbolfantasy.com/jugadores/facundo-gonzalez,20%,-1,0
Jorge Salinas,26885,5601382,5574497,6022356,Defensa,42,https://www.futbolfantasy.com/jugadores/jorge-salinas,90%,-1,0
Manu Hernando,-25050,1718374,1743424,1912863,Defensa,42,https://www.futbolfantasy.com/jugadores/manu-hernando,70%,-1,0
Iñigo Sainz-Maza,-14375,735621,749996,846569,Defensa,42,https://www.futbolfantasy.com/jugadores/iñigo-sainz-maza,0%,-1,0
Alvaro Mantilla,989,2794037,2793048,2524269,Defensa,42,https://www.futbolfantasy.com/jugadores/alvaro-mantilla,0%,-1,0
Haitam Abaida,-1126,417651,418777,442507,Delantero,11,https://www.futbolfantasy.com/jugadores/haitam-abaida,20%,-1,0
Carlos Lopez,274,384059,383785,397803,Portero,11,https://www.futbolfantasy.com/jugadores/carlos-lopez,20%,-1,0
Eneko Jauregi,-33053,1273540,1306593,1507041,Delantero,11,https://www.futbolfantasy.com/jugadores/eneko-jauregi,20%,-1,0
Julen Lobete,-15358,759210,774568,877376,Delantero,11,https://www.futbolfantasy.com/jugadores/julen-lobete,20%,-1,0
Joaquin Muñoz,-122660,6581895,6704555,7353311,Delantero,11,https://www.futbolfantasy.com/jugadores/joaquin-muñoz,0%,-1,0
